;year;violent;murder;robbery;prisoners;afam;cauc;male;population;income;density;state;law
700;1986;572.5;5.2;268.7;149;5.970.402;6.198.893;1.564.329;762.215;17008.3;1.020.641;New Jersey;no
701;1987;541;4.6;232.8;157;6.102.903;6.144.269;1.536.189;7.670.743;17741.71;1.027.148;New Jersey;no
702;1988;582.8;5.3;245.2;177;6.241.768;6.093.272;1.510.154;7.712.334;18643.56;1.032.717;New Jersey;no
703;1989;609;5.1;273.3;219;6.379.556;6.030.417;1.483.702;7.726.086;18946.78;1.034.559;New Jersey;no
704;1990;647.6;5.6;301;251;6.547.166;6.164.635;1.455.636;7.757.158;18871.69;104.558;New Jersey;no
705;1991;634.8;5.2;293.1;271;6.677.904;6.094.882;1.415.186;7.784.269;18386.84;1.049.234;New Jersey;no
706;1992;625.8;5.1;285.2;301;6.823.489;6.026.407;1.381.956;782.777;18883.87;1.055.098;New Jersey;no
707;1993;626.9;5.3;296;290;6.947.664;5.964.001;1.352.571;7.874.891;18672.59;1.061.449;New Jersey;no
708;1994;614.2;5;288;301;7.059.419;5.909.557;1.325.422;7.918.796;18738.72;1.067.367;New Jersey;no
709;1995;599.8;5.1;283;311;7.170.917;5.870.015;130.468;7.965.523;19147.16;1.073.665;New Jersey;no
710;1996;531.5;4.2;235.8;340;7.295.498;5.840.384;1.288.328;8.009.624;19554.82;107.961;New Jersey;no
711;1997;492.6;4.2;210.6;343;7.425.972;5.826.071;1.277.692;8.054.178;20101.15;1.085.615;New Jersey;no
712;1998;440.1;4;186.2;351;7.550.773;5.816.805;1.273.849;8.095.542;20866.26;109.119;New Jersey;no
713;1999;411.9;3.5;174.9;382;768.151;5.814.891;1.273.195;8.143.412;21295.97;1.097.643;New Jersey;no
714;1977;500.9;8.8;109.6;105;3.851.627;6.743.304;1.961.397;121.572;10007.03;0.0100132;New Mexico;no
715;1978;528.2;10.2;111.6;126;3.920.649;674.426;1.941.868;1.238.035;10462.22;0.010197;New Mexico;no
716;1979;586;12.4;121;123;3.938.985;6.625.013;1.890.627;1.284.722;10453.27;0.0105815;New Mexico;no
717;1980;615;13.1;127.9;112;4.045.441;6.617.848;1.875.867;13.094;10158.02;0.0107916;New Mexico;no
718;1981;671.7;11.4;140.8;106;4.002.524;6.615.292;1.850.997;1.332.709;10230.06;0.0109837;New Mexico;no
719;1982;734.5;11.6;126.2;100;4.024.948;6.599.296;1.822.599;1.363.794;10210.61;0.0112399;New Mexico;no
720;1983;686.8;8.9;114;126;4.052.492;658.366;179.076;1.394.352;10367;0.0114918;New Mexico;no
721;1984;688.1;9.1;130.3;142;4.106.052;6.547.836;1.753.703;1.416.665;10755.19;0.0116756;New Mexico;no
722;1985;703.9;10.9;138.1;133;4.190.435;6.509.621;1.717.985;1.438.371;11111.07;0.0118545;New Mexico;no
723;1986;725.6;11.5;129.5;144;4.257.937;6.478.448;1.682.611;1.462.727;11113.43;0.0120553;New Mexico;no
724;1987;628.5;10.1;108.3;154;4.335.758;6.437.509;1.646.418;1.478.519;11125.62;0.0121854;New Mexico;no
725;1988;658.1;11.5;103.1;174;4.392.654;6.393.434;1.610.711;1.490.329;11217.12;0.0122828;New Mexico;no
726;1989;703.9;8.6;105.2;180;4.486.758;6.360.856;1.582.727;1.503.892;11310.26;0.0123945;New Mexico;no
727;1990;780.2;9.2;115.1;178;458.461;640.296;1.558.858;1.519.933;11399.52;0.0125237;New Mexico;no
728;1991;834.8;10.5;120.3;196;4.688.921;6.390.107;1.536.589;1.547.115;11508.86;0.0127476;New Mexico;no
729;1992;934.9;8.9;139.3;191;4.759.892;638.187;1.519.766;158.075;11661.75;0.0130248;New Mexico;no
730;1993;929.7;8;138.4;197;4.791.209;6.369.611;1.506.288;1.614.937;11868.71;0.0133064;New Mexico;no
731;1994;889.2;10.7;140.8;206;4.829.408;6.384.676;1.495.794;1.653.329;12059.71;0.0136228;New Mexico;no
732;1995;819.2;8.8;154.5;211;4.873.286;6.394.342;1.488.335;1.682.417;12329.21;0.0138625;New Mexico;no
733;1996;840.6;11.5;162.4;231;4.963.687;6.396.568;1.483.239;1.706.151;12368.53;0.014058;New Mexico;no
734;1997;853.3;7.7;171.4;261;503.355;6.373.423;1.479.292;1.722.939;12564.69;0.0141963;New Mexico;no
735;1998;961.4;10.9;163.4;256;5.191.242;6.352.061;1.473.607;1.733.535;12935.48;0.0142836;New Mexico;no
736;1999;834.5;9.8;148.2;271;531.243;6.332.625;146.754;1.739.844;13057.93;0.0143356;New Mexico;no
737;1977;831.8;10.7;472.6;98;527.184;629.616;1.710.692;1.781.261;13403.53;0.3724071;New York;no
738;1978;841;10.3;472.1;108;5.385.798;6.278.698;1.700.131;1.768.059;13719.91;0.3696471;New York;no
739;1979;917.4;11.9;529.6;114;5.527.535;6.259.568;1.691.857;1.758.384;13619.84;0.3676244;New York;no
740;1980;1029.5;12.7;641.3;120;5.759.618;6.199.079;1.680.301;1.756.675;13413.85;0.3707865;New York;no
741;1981;1069.6;12.3;684;123;5.949.563;61.791;1.676.984;1.756.773;13550.94;0.3708071;New York;no
742;1982;990.1;11.4;610.7;145;6.147.531;6.132.369;1.663.624;1.758.975;13771.01;0.3712718;New York;no
743;1983;914.1;11.1;536.5;158;6.343.563;6.080.314;1.648.022;176.869;14188;0.3733226;New York;no
744;1984;914.3;10.1;506.9;172;6.541.053;6.028.036;1.629.392;1.774.569;15093.7;0.3745634;New York;no
745;1985;929.9;9.5;504.4;187;6.733.792;5.972.289;1.610.475;1.779.167;15495.68;0.3755339;New York;no
746;1986;985.9;10.7;514.1;195;6.933.656;5.912.571;1.589.608;1.783.342;16204.74;0.3764151;New York;no
747;1987;1008.1;11.3;503.3;216;7.131.909;585.247;1.567.199;1.786.885;16690.19;0.3771629;New York;no
748;1988;1097.3;12.5;544.4;229;7.329.988;5.801.797;1.546.924;1.794.131;17348.57;0.3786924;New York;no
749;1989;1131.2;12.5;579.3;248;7.517.052;5.744.759;1.522.776;1.798.309;17638.7;0.3795742;New York;no
750;1990;1180.9;14.5;624.7;285;7.695.074;5.869.953;1.496.152;1.800.286;17766.03;0.3812226;New York;no
751;1991;1163.9;14.2;622.1;304;7.786.431;5.812.228;1.462.381;1.802.953;17501.6;0.3817875;New York;no
752;1992;1122.1;13.2;596.9;320;7.896.828;5.758.609;1.434.285;1.808.203;17891.29;0.3828992;New York;no
753;1993;1073.5;13.3;561.2;340;8.006.265;5.712.248;1.409.058;1.814.089;17630.82;0.3841456;New York;no
754;1994;965.6;11.1;476.7;354;8.103.697;5.668.006;1.383.168;1.815.665;17713.25;0.3844793;New York;no
755;1995;841.9;8.5;399.7;367;819.649;5.629.628;136.195;1.815.093;18129.53;0.3843581;New York;no
756;1996;727;7.4;340;378;8.314.287;5.606.857;1.345.638;181.438;18583.91;0.3842073;New York;no
757;1997;688.6;6;309.3;383;8.442.421;5.593.539;1.334.361;1.814.318;18946.71;0.3841942;New York;no
758;1998;637.8;5.1;270.3;386;856.143;5.592.968;1.326.412;1.815.918;19711.47;0.3845327;New York;no
759;1999;588.8;5;240.8;397;8.678.829;559.836;131.956;181.966;20272.8;0.3853253;New York;no
760;1977;407.1;10.6;61.3;214;8.210.358;5.776.085;1.884.295;5.685.611;9.959.352;0.1165132;North Carolina;no
761;1978;413.4;10.8;65.9;234;8.235.327;5.772.733;18.675;5.759.492;10359.84;0.1180272;North Carolina;no
762;1979;446.1;10.7;77.2;223;8.260.472;5.766.654;1.847.252;5.823.493;10236.49;0.1193388;North Carolina;no
763;1980;455;10.6;82.3;240;8.406.182;5.773.013;1.844.014;589.898;9.970.623;0.1207743;North Carolina;no
764;1981;436.7;9.1;80.8;244;8.458.397;5.783.779;1.839.927;5.956.661;10065.66;0.1219553;North Carolina;no
765;1982;446.3;9.1;85.9;248;8.458.483;5.781.456;1.822.489;6.019.141;10000.08;0.1232345;North Carolina;no
766;1983;409.6;8.1;79.6;255;8.469.481;5.771.644;1.807.053;6.077.066;10480;0.1244204;North Carolina;no
767;1984;403.6;8.7;74.8;233;8.468.751;5.770.063;1.783.964;6.164.014;11304.69;0.1262006;North Carolina;no
768;1985;420.9;8.3;78.2;246;8.461.959;576.155;1.760.892;6.253.989;11712.97;0.1280427;North Carolina;no
769;1986;475.9;8.1;87.7;254;8.427.985;5.737.815;1.724.389;6.321.582;12220.6;0.1294266;North Carolina;no
770;1987;484;8.1;93.9;257;8.427.617;571.776;1.691.528;6.403.696;12563.02;0.1311078;North Carolina;no
771;1988;501.9;7.8;108.6;250;8.418.236;5.694.728;1.655.651;6.480.598;13018.16;0.1326822;North Carolina;no
772;1989;546.4;8.9;133.5;249;8.421.701;5.671.115;1.621.172;6.565.467;13280.82;0.1344198;North Carolina;no
773;1990;623.5;10.7;152.1;250;8.442.483;5.831.004;1.590.219;6.656.987;13233.65;0.1366433;North Carolina;no
774;1991;658.4;11.4;178;265;8.475.556;5.805.008;1.557.653;6.748.135;13069.55;0.1385142;North Carolina;no
775;1992;681;10.6;186.8;269;8.516.156;5.762.149;1.529.646;683.185;13575.2;0.1402326;North Carolina;no
776;1993;679.3;11.3;192.4;290;8.536.718;5.731.176;1.502.238;6.947.412;13808.94;0.1426046;North Carolina;no
777;1994;655;10.9;181.2;305;8.554.008;5.704.784;1.474.776;7.060.959;14065.63;0.1449353;North Carolina;no
778;1995;646.4;9.4;179.2;323;8.575.942;5.693.417;1.455.679;7.185.403;14347.45;0.1474897;North Carolina;no
779;1996;588.1;8.5;163.9;384;8.609.256;5.682.938;1.440.151;7.307.658;14566.9;0.1499991;North Carolina;yes
780;1997;607;8.3;172.6;376;8.650.442;567.124;1.428.686;7.428.672;15021.37;0.1524831;North Carolina;yes
781;1998;579.4;8.1;160.8;370;8.702.306;56.681;1.415.874;7.545.828;15551.17;0.1548879;North Carolina;yes
782;1999;542.1;7.2;158;358;8.760.103;5.669.116;1.402.926;7.650.789;15797.37;0.1570423;North Carolina;yes
783;1977;67.1;0.9;13.3;26;1.341.708;6.979.649;1.970.008;0.649769;10565.99;0.0093798;North Dakota;no
784;1978;67;1.2;15.6;30;1.387.221;6.951.859;1.955.437;0.651302;12431.81;0.009402;North Dakota;no
785;1979;61.3;1.5;9.9;21;1.401.761;6.925.468;1.936.397;0.652893;11522.06;0.0094249;North Dakota;no
786;1980;54;1.2;7.7;19;1.433.876;6.905.927;1.923.974;0.65438;9.786.855;0.0094427;North Dakota;no
787;1981;67.5;2.3;12.9;28;1.478.794;6.876.475;189.846;0.659524;11334.83;0.0095169;North Dakota;no
788;1982;61.8;0.7;12.7;33;150.276;6.853.995;1.868.666;0.668969;11341.68;0.0096532;North Dakota;no
789;1983;53.7;2.1;7.8;47;1.536.609;6.822.214;1.834.073;0.676685;11386;0.0097646;North Dakota;no
790;1984;53.6;1.2;7.7;51;1.588.102;6.786.971;1.796.214;0.680498;11802.41;0.0098196;North Dakota;no
791;1985;47;1;6.4;54;1.636.063;6.749.587;1.754.277;0.676991;11862.99;0.009769;North Dakota;no
792;1986;51.3;1;6.9;55;1.683.373;6.707.564;1.706.212;0.669489;11931.53;0.0096607;North Dakota;yes
793;1987;56.8;1.5;7.6;53;1.741.012;6.672.974;1.668.701;0.661167;11896.5;0.0095406;North Dakota;yes
794;1988;59.1;1.8;8.1;57;1.817.105;6.664.963;1.630.481;0.655273;10731.29;0.0094556;North Dakota;yes
795;1989;63.2;0.6;9.2;62;1.885.228;6.647.451;1.599.218;0.646341;11528.67;0.0093267;North Dakota;yes
796;1990;73.9;0.8;7.8;62;196.591;6.891.557;1.564.899;0.637364;12100.56;0.009238;North Dakota;yes
797;1991;65.4;1.1;8;67;1.995.273;6.876.801;1.554.512;0.634199;11893.37;0.0091921;North Dakota;yes
798;1992;83.3;1.9;7.9;68;202.478;6.896.371;1.547.416;0.635427;12561.32;0.0092099;North Dakota;yes
799;1993;82.2;1.7;8.3;67;2.042.594;6.921.892;1.545.175;0.637229;12284.87;0.009236;North Dakota;yes
800;1994;81.8;0.2;11.1;70;2.066.081;6.945.083;154.223;0.639762;12790.18;0.0092727;North Dakota;yes
801;1995;86.7;0.9;10;78;2.111.923;6.967.663;1.543.595;0.641548;12480.94;0.0092986;North Dakota;yes
802;1996;84;2.2;11;85;219.193;6.995.417;1.543.716;0.642858;13440.41;0.0093176;North Dakota;yes
803;1997;87.2;0.9;6.4;101;2.236.229;7.017.045;1.538.946;0.640945;12917.42;0.0092899;North Dakota;yes
804;1998;89.3;1.1;10.2;112;2.295.048;7.013.709;1.533.298;0.637808;13889.86;0.0092444;North Dakota;yes
805;1999;66.9;1.6;8.8;128;2.349.187;7.014.247;1.524.668;0.633666;13917.25;0.0091844;North Dakota;yes
806;1977;406.7;7.8;190.5;117;3.519.284;6.674.809;1.799.975;107.714;12348.08;0.2628773;Ohio;no
807;1978;412.7;6.9;182.6;120;3.556.667;6.673.001;178.805;1.079.558;12722.13;0.2634676;Ohio;no
808;1979;457.5;8.1;194.8;122;3.599.927;6.663.911;1.775.854;107.983;12692.37;0.2635339;Ohio;no
809;1980;498.3;8.1;223.7;125;3.685.806;6.644.777;1.762.688;1.080.065;12214.53;0.2634048;Ohio;no
810;1981;496.6;7.4;236.9;125;3.735.891;6.635.651;1.749.891;1.078.832;12036.27;0.2631042;Ohio;no
811;1982;436.7;6.3;183.6;139;3.765.303;6.611.286;1.727.588;1.075.709;11852.52;0.2623424;Ohio;no
812;1983;397.9;5.6;159.4;160;3.791.123;657.574;1.701.007;1.073.763;12167;0.261868;Ohio;no
813;1984;385.3;5.1;145.6;155;3.819.927;6.544.431;167.284;1.073.775;12897.59;0.2618707;Ohio;no
814;1985;381.6;5.2;133.1;174;3.848.571;6.518.134;1.642.167;1.073.492;13237.17;0.2618018;Ohio;no
815;1986;420.9;5.5;142.1;194;3.875.234;6.488.249;1.608.576;1.073.027;13574.1;0.2616883;Ohio;no
816;1987;421.3;5.8;153.1;209;3.906.207;6.460.281;1.573.168;1.076.008;13746.97;0.2624154;Ohio;no
817;1988;452;5.4;161.4;219;3.940.451;6.436.441;1.542.304;1.079.856;14094.24;0.2633539;Ohio;no
818;1989;468.6;6;170.9;243;3.974.989;6.405.193;1.511.804;1.082.921;14313.47;0.2641013;Ohio;no
819;1990;506.2;6.1;188.5;279;4.031.344;6.615.223;1.485.449;1.086.184;14319.5;0.2652269;Ohio;no
820;1991;561.8;7.2;215.2;289;4.072.498;6.596.347;1.465.337;1.093.368;14047.63;0.2669812;Ohio;no
821;1992;525.9;6.6;199;324;413.623;657.691;1.449.884;1.100.761;14371.82;0.2687864;Ohio;no
822;1993;504.1;6;192.7;347;4.184.489;6.561.407;1.435.962;1.107.038;14468.31;0.2703193;Ohio;no
823;1994;485.8;6;187.5;365;4.227.386;6.547.792;1.421.471;1.111.145;14826.34;0.271322;Ohio;no
824;1995;482.5;5.4;178.7;387;4.278.977;654.557;1.412.122;1.115.549;14968.1;0.2723975;Ohio;no
825;1996;428.7;4.8;164.1;400;4.332.642;6.543.978;1.406.921;1.118.703;14994.26;0.2731676;Ohio;no
826;1997;435.4;4.7;158.7;413;438.574;6.539.888;1.402.826;112.125;15472.84;0.2737894;Ohio;no
827;1998;362.5;4;133.5;429;4.445.747;6.543.416;139.894;1.123.775;16001.48;0.2744061;Ohio;no
828;1999;316.4;3.5;128;432;4.507.334;6.546.132;1.394.151;1.125.665;16248.26;0.2748676;Ohio;no
829;1977;316.6;8.6;73.8;133;433.371;6.351.503;1.807.595;2.870.012;10827.38;0.0417262;Oklahoma;no
830;1978;353;8.5;88.3;129;4.418.449;6.326.656;1.786.812;2.917.336;11287.34;0.0424142;Oklahoma;no
831;1979;405.2;9.7;102.6;146;4.495.429;6.310.439;1.774.786;2.975.311;11641.42;0.0432571;Oklahoma;no
832;1980;419.5;10;104.9;147;4.664.462;6.296.575;1.765.826;3.040.758;11582.22;0.0442904;Oklahoma;no
833;1981;426.8;9;115.4;151;4.774.306;6.294.326;1.754.943;3.096.157;12059.29;0.0450973;Oklahoma;no
834;1982;443.9;10.8;132.8;169;4.882.282;6.306.606;1.740.014;3.206.124;12195.14;0.0466991;Oklahoma;no
835;1983;423.4;7.6;128.7;201;4.994.554;6.269.285;1.717.789;3.290.404;11725;0.0479266;Oklahoma;no
836;1984;407.5;7.8;111.2;212;5.113.821;6.215.516;1.689.424;3.285.528;12166.83;0.0478556;Oklahoma;no
837;1985;422;7.7;106.8;236;5.239.792;6.163.043;1.661.112;3.271.332;12283.39;0.0476489;Oklahoma;no
838;1986;436.4;8.1;106.5;250;5.376.682;6.116.328;16.29;3.252.731;12078.79;0.0473779;Oklahoma;no
839;1987;417.6;7.5;109.5;288;5.527.026;6.053.362;159.978;3.210.117;11807.93;0.0467572;Oklahoma;no
840;1988;434.5;7.4;105.1;296;569.437;6.002.283;1.566.877;3.167.058;12004.39;0.04613;Oklahoma;no
841;1989;491.5;6.5;126.2;323;5.874.236;5.971.284;1.539.984;3.150.299;12257.79;0.0458859;Oklahoma;no
842;1990;547.5;8;121.9;361;6.051.212;6.139.859;1.519.342;3.147.105;12355.07;0.0458234;Oklahoma;no
843;1991;583.7;7.2;128.9;381;6.049.448;614.276;1.501.631;3.166.471;12223.05;0.0461054;Oklahoma;no
844;1992;622.8;6.5;136.2;416;6.083.315;6.153.336;1.495.627;3.204.174;12443.46;0.0466544;Oklahoma;no
845;1993;634.8;8.4;121.8;459;6.113.857;6.160.735;1.489.162;3.228.829;12460.57;0.0470133;Oklahoma;no
846;1994;651.5;6.9;128.1;506;609.876;6.169.035;1.481.797;3.246.119;12586.56;0.0472651;Oklahoma;no
847;1995;664.1;12.2;115.6;508;610.792;6.178.748;1.481.942;3.265.547;12683.68;0.047548;Oklahoma;no
848;1996;597.1;6.8;106.8;552;6.143.024;6.193.959;1.482.217;3.289.634;12795.89;0.0478987;Oklahoma;yes
849;1997;559.5;6.9;103.9;591;6.179.451;6.199.123;147.973;3.314.259;13106.83;0.0482572;Oklahoma;yes
850;1998;539.4;6.1;92;617;6.223.009;6.203.029;1.475.767;3.339.478;13567.87;0.0486244;Oklahoma;yes
851;1999;508.2;6.9;82.9;622;6.265.761;6.208.629;1.471.476;3.358.044;13728.88;0.0488948;Oklahoma;yes
852;1977;455.8;4.9;124.1;122;1.399.533;7.091.949;1.794.813;2.446.673;12422.06;0.0254374;Oregon;no
853;1978;502.4;5;131.1;122;1.437.637;707.952;1.776.759;2.518.299;12951.33;0.0261821;Oregon;no
854;1979;545.4;4.2;130.6;117;147.905;7.065.277;1.761.962;2.588.013;12917.38;0.0269069;Oregon;no
855;1980;490.4;5.1;152.4;122;1.56;7.070.586;1.752.256;2.641.218;12326.96;0.0274601;Oregon;no
856;1981;478.7;4.4;180.6;120;1.624.597;7.036.204;1.716.866;2.667.984;11904.75;0.0277383;Oregon;no
857;1982;473;5.1;167.3;124;1.681.663;6.988.253;1.674.702;2.664.922;11484.1;0.0277065;Oregon;no
858;1983;487.8;4.1;170.3;146;1.728.119;6.931.556;1.627.869;2.653.058;11832;0.0275832;Oregon;no
859;1984;506.1;4.8;168.6;157;1.783.212;6.890.342;1.583.032;2.666.592;12338.49;0.0277239;Oregon;no
860;1985;551.1;4.7;185.6;170;1.842.704;6.853.308;1.545.123;2.672.648;12544.52;0.0277868;Oregon;no
861;1986;549.7;6.6;205.9;165;1.904.021;6.818.871;1.509.511;2.683.531;12873.26;0.0279;Oregon;no
862;1987;539.5;5.6;196;176;1.963.866;6.795.156;1.476.735;2.700.999;13076.95;0.0280816;Oregon;no
863;1988;545.7;5.1;193;200;2.040.049;6.784.964;145.257;2.741.307;13524.2;0.0285007;Oregon;no
864;1989;518.6;4.8;151.8;215;2.109.642;6.760.602;1.431.504;2.790.568;13829.27;0.0290128;Oregon;no
865;1990;506.8;3.8;144.3;235;2.180.059;6.936.436;1.422.593;2.858.547;13908.79;0.0297756;Oregon;no
866;1991;506.3;4.6;150.1;223;2.229.828;695.378;1.405.751;2.918.745;13747.19;0.0304026;Oregon;yes
867;1992;510.2;4.7;151.4;228;2.285.827;6.950.073;1.396.016;2.973.934;13886.18;0.0309775;Oregon;yes
868;1993;503.1;4.6;129.6;174;2.339.042;6.971.551;1.387.937;303.449;14058.36;0.0316083;Oregon;yes
869;1994;520.6;4.9;138.2;166;2.385.086;6.976.754;1.382.926;3.087.142;14394.91;0.0321567;Oregon;yes
870;1995;522.4;4.1;137.9;191;2.443.098;6.986.402;1.382.365;3.141.421;14824.87;0.0327221;Oregon;yes
871;1996;463.1;4;122.2;206;249.674;7.004.883;1.382.604;3.195.087;15017.11;0.0332811;Oregon;yes
872;1997;444.4;2.9;117.5;226;2.542.292;7.017.027;1.384.819;3.243.254;15428.12;0.0337828;Oregon;yes
873;1998;419.8;3.8;105.2;232;2.593.863;7.022.414;1.385.702;3.282.055;15883.56;0.034187;Oregon;yes
874;1999;374.9;2.7;86.2;260;264.457;7.033.952;1.385.325;3.316.154;16120.88;0.0345422;Oregon;yes
875;1977;282.8;5.6;130.3;56;3.163.795;6.717.242;1.721.567;1.189.359;12318.49;0.264502;Pennsylvania;no
876;1978;301.1;6.2;136.7;56;3.199.438;6.707.594;1.710.899;118.794;12690.04;0.2641863;Pennsylvania;no
877;1979;333.6;6.2;152.2;65;3.243.192;669.677;1.702.396;1.188.798;12656.7;0.2643771;Pennsylvania;no
878;1980;363.9;6.8;177.9;67;331.975;6.688.034;1.696.696;1.186.831;12272.56;0.2643982;Pennsylvania;no
879;1981;371.7;6.1;186.6;68;3.369.268;6.672.968;168.695;1.185.857;12257.66;0.2641813;Pennsylvania;no
880;1982;360.4;5.7;175.4;78;3.404.364;6.643.293;1.667.715;1.184.515;12267.38;0.2638823;Pennsylvania;no
881;1983;342.8;4.9;172.3;88;3.434.612;6.604.167;1.642.494;1.183.773;12455;0.263717;Pennsylvania;no
882;1984;320.6;4.5;148.4;98;3.468.075;6.568.049;1.614.494;1.181.517;12958.01;0.2632145;Pennsylvania;no
883;1985;331.1;4.6;147;109;3.506.406;6.522.522;1.583.221;1.177.085;13376.07;0.2622272;Pennsylvania;no
884;1986;358.6;5.5;152.1;119;3.546.907;647.671;1.550.297;1.178.275;13804.07;0.2624921;Pennsylvania;no
885;1987;369.4;5.4;144.4;128;359.381;6.435.545;1.516.821;1.181.086;14156.53;0.2631185;Pennsylvania;no
886;1988;362;5.5;138.1;136;3.630.356;6.404.595;1.483.701;1.184.575;14585.97;0.2638958;Pennsylvania;no
887;1989;378.6;6.3;149.7;149;3.656.925;6.368.747;1.446.858;1.186.601;15036.17;0.264347;Pennsylvania;no
888;1990;431;6.7;176.2;169;3.693.717;6.593.815;1.417.472;118.956;15105.13;0.2654084;Pennsylvania;yes
889;1991;450;6.3;193.9;183;3.717.375;656.598;1.393.099;1.194.316;14989.15;0.2664694;Pennsylvania;yes
890;1992;427;6.2;180.7;192;37.588;6.533.145;137.415;1.198.082;15300.5;0.2673097;Pennsylvania;yes
891;1993;417.5;6.8;179;207;3.796.508;6.506.128;1.358.997;1.202.213;15303.38;0.2682313;Pennsylvania;yes
892;1994;426.7;5.9;186.7;216;3.840.459;648.941;1.343.727;1.204.255;15364.61;0.2686869;Pennsylvania;yes
893;1995;427.3;6.3;189.3;235;3.879.622;6.481.329;1.332.592;1.204.478;15524.65;0.2687367;Pennsylvania;yes
894;1996;480.3;5.7;189;268;3.933.267;6.482.384;132.439;1.203.801;15772.13;0.2685856;Pennsylvania;yes
895;1997;442.1;5.9;156.3;286;397.686;6.485.114;1.319.228;1.201.589;16200.03;0.2680921;Pennsylvania;yes
896;1998;420.5;5.3;164.9;291;4.023.894;6.491.528;131.332;1.200.233;16727.35;0.2677896;Pennsylvania;yes
897;1999;420.5;4.9;155.7;303;407.429;6.501.945;1.305.575;1.199.402;17114.16;0.2676041;Pennsylvania;yes
898;1977;301.6;3.6;86.5;53;1.434.283;7.138.422;1.773.506;0.950231;11514.58;0.9058446;Rhode Island;no
899;1978;348.1;4;98.2;56;1.481.589;7.146.287;1.762.778;0.951816;11754.9;0.9073556;Rhode Island;no
900;1979;375.1;3.2;109.7;56;1.540.224;715.311;1.760.883;0.950381;11792.34;0.9059876;Rhode Island;no
901;1980;408.5;4.4;118.6;63;1.599.645;7.092.782;1.741.544;0.948773;11778.08;0.8993109;Rhode Island;no
902;1981;441.7;4.2;132;65;1.699.463;7.077.566;1.741.645;0.953007;11853.24;0.9033242;Rhode Island;no
903;1982;401.8;3.7;114.7;72;1.786.463;703.692;1.729.796;0.954176;11976.36;0.9044322;Rhode Island;no
904;1983;355.2;2.7;112.9;82;1.866.839;6.990.588;1.711.524;0.956376;12439;0.9065175;Rhode Island;no
905;1984;334.7;3.4;113.4;92;1.951.864;6.958.003;1.690.351;0.961901;13154.6;0.9117545;Rhode Island;no
906;1985;346.6;3.6;115.9;92;2.035.812;691.723;1.670.788;0.96895;13598.31;0.9184361;Rhode Island;no
907;1986;335.5;3.5;118.7;99;2.116.862;6.866.371;1.642.361;0.977343;14168.58;0.9263915;Rhode Island;no
908;1987;359.7;3.5;107.7;103;2.202.196;6.825.656;1.613.253;0.989603;14602.93;0.9380123;Rhode Island;no
909;1988;396.7;4.1;115.2;100;2.290.507;6.786.526;1.580.061;0.996417;15384.18;0.9444711;Rhode Island;no
910;1989;378;4.9;112.4;118;239.171;6.738.249;1.543.434;1.000.665;15784.57;0.9484976;Rhode Island;no
911;1990;431.9;4.8;122;146;2.479.174;6.939.707;151.211;1.004.649;15387.83;0.9613866;Rhode Island;no
912;1991;462;3.7;122.9;157;252.871;6.882.858;1.480.861;100.399;14885.35;0.960756;Rhode Island;no
913;1992;394.5;3.6;94.5;173;2.547.845;6.826.462;1.451.291;1.000.571;15092.47;0.9574842;Rhode Island;no
914;1993;401.7;3.9;101.1;170;2.581.645;6.769.461;1.425.883;0.997852;15252.39;0.9548823;Rhode Island;no
915;1994;375.5;4.1;87.3;172;2.639.489;6.731.688;1.399.721;0.993412;15296.06;0.9506335;Rhode Island;no
916;1995;368;3.3;92.3;186;2.685.899;6.700.869;1.380.606;0.989203;15726.08;0.9466057;Rhode Island;no
917;1996;347.2;2.5;83.2;186;2.747.257;6.690.131;1.364.862;0.987858;15953.1;0.9453186;Rhode Island;no
918;1997;333.5;2.5;71.6;205;28.234;6.684.111;1.356.247;0.986966;16543.44;0.9444651;Rhode Island;no
919;1998;312.1;2.4;66.7;213;2.905.324;6.689.433;1.343.733;0.987704;17120.22;0.9451712;Rhode Island;no
920;1999;286.6;3.6;79.5;220;2.957.654;6.686.559;1.332.948;0.990819;17542.33;0.9481522;Rhode Island;no
921;1977;636.2;11.9;105.9;230;105.465;527.606;1.969.209;2.991.683;9.344.497;0.0989804;South Carolina;no
922;1978;637.6;11.5;101.3;239;1.053.142;5.274.525;1.942.307;3.044.365;9.678.352;0.1007234;South Carolina;no
923;1979;678.3;12.6;107.6;243;1.055.307;5.271.151;1.923.501;3.090.266;9.664.368;0.1022421;South Carolina;no
924;1980;660;11.4;118.1;237;1.065.547;5.253.884;1.901.045;3.134.502;9.422.946;0.1037811;South Carolina;no
925;1981;640.4;10.4;120.2;238;1.073.265;5.267.374;1.900.076;3.179.235;9.481.496;0.1052622;South Carolina;no
926;1982;720;10.9;122.4;251;1.070.938;5.260.826;1.874.896;3.207.618;9.361.272;0.106202;South Carolina;no
927;1983;616.8;9.8;104.9;270;1.067.709;5.249.292;1.845.694;3.234.074;9775;0.1070779;South Carolina;no
928;1984;624.5;9.2;103.3;276;1.066.809;5.240.158;1.820.869;3.271.861;10462.69;0.108329;South Carolina;no
929;1985;631;9.1;93.9;284;1.057.847;5.228.647;1.773.742;3.303.208;10802.72;0.1093669;South Carolina;no
930;1986;674.6;8.6;99.5;294;1.057.243;5.212.664;1.751.189;3.342.769;11142.52;0.1106767;South Carolina;no
